:START_ID(HAPLOTYPE),:END_ID(HAPLOTYPE),:TYPE
5428,379,TOP
5429,380,TOP
5429,2311,TOP
5430,391,TOP
5430,986,TOP
5430,381,TOP
5431,424,TOP
5431,2309,TOP
5431,382,TOP
5432,383,TOP
5433,384,TOP
5434,385,TOP
5435,386,TOP
5436,387,TOP
5437,1734,TOP
5437,388,TOP
5438,389,TOP
5438,416,TOP
5439,390,TOP
5439,417,TOP
5440,919,TOP
5440,440,TOP
5440,392,TOP
5441,2862,TOP
5441,1730,TOP
5441,393,TOP
5441,4071,TOP
5442,394,TOP
5443,395,TOP
5444,639,TOP
5444,396,TOP
5444,937,TOP
5445,397,TOP
5445,398,TOP
5446,399,TOP
5447,400,TOP
5447,1709,TOP
5448,401,TOP
5449,402,TOP
5450,403,TOP
5451,404,TOP
5451,2875,TOP
5452,2873,TOP
5452,405,TOP
5453,2874,TOP
5453,406,TOP
5454,407,TOP
5455,408,TOP
5456,409,TOP
5456,1972,TOP
5457,410,TOP
5458,411,TOP
5459,934,TOP
5459,412,TOP
5459,927,TOP
5459,930,TOP
5459,964,TOP
5459,958,TOP
5460,413,TOP
5461,414,TOP
5461,939,TOP
5461,953,TOP
5461,973,TOP
5462,415,TOP
5463,418,TOP
5464,419,TOP
5465,420,TOP
5466,1973,TOP
5466,421,TOP
5466,529,TOP
5467,422,TOP
5467,1072,TOP
5468,423,TOP
5469,921,TOP
5469,1003,TOP
5469,977,TOP
5469,425,TOP
5469,444,TOP
5469,1001,TOP
5470,2746,TOP
5470,426,TOP
5471,2747,TOP
5471,427,TOP
5472,428,TOP
5472,2872,TOP
5473,429,TOP
5473,2310,TOP
5474,430,TOP
5474,2876,TOP
5475,431,TOP
5475,982,TOP
5476,432,TOP
5477,433,TOP
5478,434,TOP
5479,435,TOP
5480,926,TOP
5480,436,TOP
5481,437,TOP
5482,644,TOP
5482,2114,TOP
5482,438,TOP
5482,1942,TOP
5482,1931,TOP
5483,439,TOP
5483,1719,TOP
5484,441,TOP
5484,1723,TOP
5485,442,TOP
5486,985,TOP
5486,443,TOP
5486,1005,TOP
5487,1002,TOP
5487,445,TOP
5487,980,TOP
5488,446,TOP
5488,1077,TOP
5489,447,TOP
5489,1984,TOP
5490,448,TOP
5491,449,TOP
5492,840,TOP
5492,1486,TOP
5492,450,TOP
5493,1487,TOP
5493,451,TOP
5493,1620,TOP
5494,452,TOP
5495,453,TOP
5496,454,TOP
5497,455,TOP
5498,456,TOP
5499,457,TOP
5500,458,TOP
5501,459,TOP
5502,460,TOP
5503,461,TOP
5504,462,TOP
5505,463,TOP
5506,466,TOP
5507,467,TOP
5507,3795,TOP
5508,468,TOP
5509,469,TOP
5510,470,TOP
5511,471,TOP
5512,472,TOP
5513,473,TOP
5513,475,TOP
5514,474,TOP
5515,477,TOP
5515,476,TOP
5516,478,TOP
5517,479,TOP
5518,480,TOP
5519,481,TOP
5520,482,TOP
5521,483,TOP
5521,2448,TOP
5522,484,TOP
5523,485,TOP
5524,486,TOP
5524,1938,TOP
5525,488,TOP
5526,489,TOP
5527,490,TOP
5528,1423,TOP
5528,491,TOP
5529,492,TOP
5530,493,TOP
5531,494,TOP
5532,1037,TOP
5532,495,TOP
5533,496,TOP
5534,2352,TOP
5534,497,TOP
5535,498,TOP
5536,499,TOP
5537,500,TOP
